"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"WGS84_UTM_ZONE_48N","","R000217","Coordinate of Point 8","D3CL2","1","0","","","2405597","b8d5e406-d0fa-ee11-9f89-000d3aa02f9f","863666","1156564","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000215","Coordinate of Point 7","D3CL26","1","0","","","2405596","b6d5e406-d0fa-ee11-9f89-000d3aa02f9f","906556","1101865","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS85_TM_109E","","R000213","Coordinate of Point 7","D3CL19","1","0","","","2405595","b3d5e406-d0fa-ee11-9f89-000d3aa02f9f","435734","1148774","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000216","Coordinate of Point 7","D3MTC4","1","0","","","2405594","b5d5e406-d0fa-ee11-9f89-000d3aa02f9f","294876","860852","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000214","Coordinate of Point 7","D3CL24","1","0","","","2405593","b4d5e406-d0fa-ee11-9f89-000d3aa02f9f","932578","1192729","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000212","Coordinate of Point 7","D3CL13","1","0","","","2405592","b2d5e406-d0fa-ee11-9f89-000d3aa02f9f","882577","1166663","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000210","Coordinate of Point 7","D3CL2","1","0","","","2405591","b0d5e406-d0fa-ee11-9f89-000d3aa02f9f","870611","1164267","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000209","Coordinate of Point 6","D3MTC4","1","0","","","2405590","b1d5e406-d0fa-ee11-9f89-000d3aa02f9f","296397","854545","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000211","Coordinate of Point 7","D3CL3","1","0","","","2405589","afd5e406-d0fa-ee11-9f89-000d3aa02f9f","794000","1084000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000207","Coordinate of Point 6","D3CL26","1","0","","","2405588","abd5e406-d0fa-ee11-9f89-000d3aa02f9f","894373","1113963","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_UTM_48","","R000208","Coordinate of Point 6","D3MTC1","1","0","","","2405587","aed5e406-d0fa-ee11-9f89-000d3aa02f9f","237622","992863","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000206","Coordinate of Point 6","D3CL24","1","0","","","2405586","add5e406-d0fa-ee11-9f89-000d3aa02f9f","945814","1184761","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000205","Coordinate of Point 6","D3CL22","1","0","","","2405585","acd5e406-d0fa-ee11-9f89-000d3aa02f9f","824978","1099707","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000201","Coordinate of Point 6","D3CL5","1","0","","","2405584","a8d5e406-d0fa-ee11-9f89-000d3aa02f9f","860455","1081582","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000202","Coordinate of Point 6","D3CL13","1","0","","","2405583","aad5e406-d0fa-ee11-9f89-000d3aa02f9f","874514","1159995","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000204","Coordinate of Point 6","D3CL21","1","0","","","2405582","a7d5e406-d0fa-ee11-9f89-000d3aa02f9f","856824","1149058","bdc98465-7de8-ee11-a203-00224856dfbe"
