"cr286_area_km2","cr286_contractor_id","cr286_date_of_processing_commence","cr286_date_of_processing_completion","importsequencenumber","cr286_operator_id","cr286_processing_grid_m","cr286_processing_result","cr286_processing_type","cr286_remarks","cr286_seismic_3d_processing_id","cr286_seismic_3d_processing_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_processingid","owningbusinessunit"
"","CGG_AP","2003-11-01 00:00:00.0000000","2004-03-01 00:00:00.0000000","","PETRONAS_CARIGALI_VN","12.5x12.5","Pre-stack Time Migration","Time","","P3CL19","PVEPPOC.HONGLONG10.09-2/09.01-02/10.3D","1","0","4","","2377243","b0034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"765","FAIRFIELD_VN","","","","LAM_SON_JOC","","Pre-stack Depth Migration","Depth","","P3CL17","PVEP2012.01/10-02/10.3D/PVEP2012","1","0","","","2377242","ae034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"284","VERITAS_DGC","2006-05-01 00:00:00.0000000","2007-04-01 00:00:00.0000000","","PETRONAS_CARIGALI_VN","12.5x12.5","Pre-stack Depth Migration","Depth","","P3CL20","THANGLONG05.15-2.3D/THANGLONG05","1","0","4","","2377241","ad034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","CGG_AP","2002-07-01 00:00:00.0000000","2003-06-01 00:00:00.0000000","","PETRONAS_CARIGALI_VN","12.5x18.75","Final Pre-stack Time Migration","Time","","P3CL18","PVEP2015.01/10-02/10.3D/PVEP2015","1","0","4","","2377240","af034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GOLDEN_PAC","","2006-08-01 00:00:00.0000000","","LAM_SON_JOC","12.5x25","Final Pre-stack Time Migration","Time","","P3CL15","PVEP11.09-2/10.3D/PVEP11","1","0","4","","2377239","aa034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","WESTERN_GEO","1995-09-01 00:00:00.0000000","1996-06-01 00:00:00.0000000","","JVPC","18.75x37.5","Final Migration","Time","","P3CL13","PVEP10.PQ.15.1-05.3D/PETRONAS08","1","0","4","","2377238","ab034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","WESTERN_GEO","1995-11-01 00:00:00.0000000","1996-06-01 00:00:00.0000000","","JVPC","18.75x37.6","Final Migration","Time","","P3CL14","PVEP.POC13.15.1/05.3D/PVEP.POC13","1","0","4","","2377237","a9034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"321","PARADIGM","2005-05-16 00:00:00.0000000","2006-03-31 00:00:00.0000000","","LAM_SON_JOC","6.25x18.75","Pre-stack Depth Migration","Depth","","P3CL16","PVEP2002.01/10-02/10.3D/ PVEP2011","1","0","4","","2377236","ac034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"115","CGG_SIG","2013-04-01 00:00:00.0000000","2013-06-01 00:00:00.0000000","","IDEMITSU","12.5x12.5","Final Pre-stack Time Migration","Time","","P3CL11","CUULONG99.15-1.3D/CUULONG99","1","0","4","","2377235","a8034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"650","GOLDEN_PAC","2001-06-19 00:00:00.0000000","","","HOAN_VU_JOC","12.5x25","Near and Far Offset Pre-stack Time Migration","Time","","P3CL9","PETRONAS07.RUBY95.01-02.3D/PETRONAS95/PETRONAS02","1","0","4","","2377234","a5034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"600","CGG_AUS","2005-04-01 00:00:00.0000000","2005-08-01 00:00:00.0000000","","IDEMITSU","12.5x25","Pre-stack Time Migration Gather","Time","","P3CL10","PETRONAS1995.01.3D/PETRONAS95","1","0","4","","2377233","a7034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
